"plantNum","surv","date.in","date.out","daysout","c8.4","c10.2","c10.7","c18.1","tough","trich","lat","c.pca"
43,0,2016-09-05,2016-08-29,7,0.189182040054885,0.0287086562628799,0.0366489254606479,0.0262910879824365,150,98,0.00128000000000017,2.43134226449825
43,0,2016-09-05,2016-08-29,7,0.189182040054885,0.0287086562628799,0.0366489254606479,0.0262910879824365,150,98,0.00128000000000017,2.43134226449825
43,0,2016-09-05,2016-08-29,7,0.189182040054885,0.0287086562628799,0.0366489254606479,0.0262910879824365,150,98,0.00128000000000017,2.43134226449825
44,0,2016-09-05,2016-08-29,7,0.0712635064764819,0.0490696620991746,0.0447977380965933,0.0342143288361553,82.5,79,0.00286500000000012,3.02926266842109
44,0,2016-09-05,2016-08-29,7,0.0712635064764819,0.0490696620991746,0.0447977380965933,0.0342143288361553,82.5,79,0.00286500000000012,3.02926266842109
44,0,2016-09-05,2016-08-29,7,0.0712635064764819,0.0490696620991746,0.0447977380965933,0.0342143288361553,82.5,79,0.00286500000000012,3.02926266842109
44,0,2016-09-05,2016-08-29,7,0.0712635064764819,0.0490696620991746,0.0447977380965933,0.0342143288361553,82.5,79,0.00286500000000012,3.02926266842109
44,0,2016-09-05,2016-08-29,7,0.0712635064764819,0.0490696620991746,0.0447977380965933,0.0342143288361553,82.5,79,0.00286500000000012,3.02926266842109
45,1,2016-09-05,2016-08-29,7,0.0792766845964944,0.0754083022320643,0.068973267179681,0.0401367504746001,35,49.5,0.000623999999999958,4.31801447507101
45,0,2016-09-05,2016-08-29,7,0.0792766845964944,0.0754083022320643,0.068973267179681,0.0401367504746001,35,49.5,0.000623999999999958,4.31801447507101
45,0,2016-09-05,2016-08-29,7,0.0792766845964944,0.0754083022320643,0.068973267179681,0.0401367504746001,35,49.5,0.000623999999999958,4.31801447507101
45,0,2016-09-05,2016-08-29,7,0.0792766845964944,0.0754083022320643,0.068973267179681,0.0401367504746001,35,49.5,0.000623999999999958,4.31801447507101
46,0,2016-09-05,2016-08-29,7,0.152309005778887,0.0233146504712182,0.0378442447925624,0.023473793452158,122.5,65,0.00413799999999998,2.40925573789209
46,0,2016-09-05,2016-08-29,7,0.152309005778887,0.0233146504712182,0.0378442447925624,0.023473793452158,122.5,65,0.00413799999999998,2.40925573789209
46,0,2016-09-05,2016-08-29,7,0.152309005778887,0.0233146504712182,0.0378442447925624,0.023473793452158,122.5,65,0.00413799999999998,2.40925573789209
46,0,2016-09-05,2016-08-29,7,0.152309005778887,0.0233146504712182,0.0378442447925624,0.023473793452158,122.5,65,0.00413799999999998,2.40925573789209
46,0,2016-09-05,2016-08-29,7,0.152309005778887,0.0233146504712182,0.0378442447925624,0.023473793452158,122.5,65,0.00413799999999998,2.40925573789209
47,0,2016-09-05,2016-08-29,7,0.149398835052409,0.0213616756079592,0.0272578651548682,0.0191050330048859,132.5,104.5,0.00374699999999994,1.79593466829594
47,0,2016-09-05,2016-08-29,7,0.149398835052409,0.0213616756079592,0.0272578651548682,0.0191050330048859,132.5,104.5,0.00374699999999994,1.79593466829594
47,0,2016-09-05,2016-08-29,7,0.149398835052409,0.0213616756079592,0.0272578651548682,0.0191050330048859,132.5,104.5,0.00374699999999994,1.79593466829594
47,0,2016-09-05,2016-08-29,7,0.149398835052409,0.0213616756079592,0.0272578651548682,0.0191050330048859,132.5,104.5,0.00374699999999994,1.79593466829594
47,0,2016-09-05,2016-08-29,7,0.149398835052409,0.0213616756079592,0.0272578651548682,0.0191050330048859,132.5,104.5,0.00374699999999994,1.79593466829594
48,1,2016-09-05,2016-08-29,7,0.00442621606005812,0.0233974575323942,0.0257708979244107,0.0123336686651319,137.5,64.5,0.00437599999999994,1.53989851415933
48,1,2016-09-05,2016-08-29,7,0.00442621606005812,0.0233974575323942,0.0257708979244107,0.0123336686651319,137.5,64.5,0.00437599999999994,1.53989851415933
48,1,2016-09-05,2016-08-29,7,0.00442621606005812,0.0233974575323942,0.0257708979244107,0.0123336686651319,137.5,64.5,0.00437599999999994,1.53989851415933
48,1,2016-09-05,2016-08-29,7,0.00442621606005812,0.0233974575323942,0.0257708979244107,0.0123336686651319,137.5,64.5,0.00437599999999994,1.53989851415933
48,1,2016-09-05,2016-08-29,7,0.00442621606005812,0.0233974575323942,0.0257708979244107,0.0123336686651319,137.5,64.5,0.00437599999999994,1.53989851415933
49,1,2016-09-05,2016-08-29,7,0.0609253444294478,0.0321534083264277,0.0443311271382586,0.0258591532369557,107.5,100,0.00357199999999991,2.77702680560138
49,0,2016-09-05,2016-08-29,7,0.0609253444294478,0.0321534083264277,0.0443311271382586,0.0258591532369557,107.5,100,0.00357199999999991,2.77702680560138
49,0,2016-09-05,2016-08-29,7,0.0609253444294478,0.0321534083264277,0.0443311271382586,0.0258591532369557,107.5,100,0.00357199999999991,2.77702680560138
49,0,2016-09-05,2016-08-29,7,0.0609253444294478,0.0321534083264277,0.0443311271382586,0.0258591532369557,107.5,100,0.00357199999999991,2.77702680560138
49,0,2016-09-05,2016-08-29,7,0.0609253444294478,0.0321534083264277,0.0443311271382586,0.0258591532369557,107.5,100,0.00357199999999991,2.77702680560138
50,0,2016-09-05,2016-08-29,7,0.160943632926924,0.048061396507206,0.059971836865998,0.0441347728496966,75,54.5,0.00437899999999991,4.00930741948652
50,0,2016-09-05,2016-08-29,7,0.160943632926924,0.048061396507206,0.059971836865998,0.0441347728496966,75,54.5,0.00437899999999991,4.00930741948652
50,0,2016-09-05,2016-08-29,7,0.160943632926924,0.048061396507206,0.059971836865998,0.0441347728496966,75,54.5,0.00437899999999991,4.00930741948652
50,0,2016-09-05,2016-08-29,7,0.160943632926924,0.048061396507206,0.059971836865998,0.0441347728496966,75,54.5,0.00437899999999991,4.00930741948652
50,0,2016-09-05,2016-08-29,7,0.160943632926924,0.048061396507206,0.059971836865998,0.0441347728496966,75,54.5,0.00437899999999991,4.00930741948652
51,1,2016-09-05,2016-08-29,7,0.107350494724091,0.018573344787997,0.0312446116901698,0.014548846093225,87.5,71.5,0.00330699999999995,1.85581200024081
51,1,2016-09-05,2016-08-29,7,0.107350494724091,0.018573344787997,0.0312446116901698,0.014548846093225,87.5,71.5,0.00330699999999995,1.85581200024081
51,1,2016-09-05,2016-08-29,7,0.107350494724091,0.018573344787997,0.0312446116901698,0.014548846093225,87.5,71.5,0.00330699999999995,1.85581200024081
51,1,2016-09-05,2016-08-29,7,0.107350494724091,0.018573344787997,0.0312446116901698,0.014548846093225,87.5,71.5,0.00330699999999995,1.85581200024081
51,0,2016-09-05,2016-08-29,7,0.107350494724091,0.018573344787997,0.0312446116901698,0.014548846093225,87.5,71.5,0.00330699999999995,1.85581200024081
53,1,2016-09-06,2016-08-30,7,0.116052603656586,0.0251712136917189,0.0221580530416997,0.00934967073353006,102.5,92.5,NA,1.28939584505645
53,0,2016-09-06,2016-08-30,7,0.116052603656586,0.0251712136917189,0.0221580530416997,0.00934967073353006,102.5,92.5,NA,1.28939584505645
53,0,2016-09-06,2016-08-30,7,0.116052603656586,0.0251712136917189,0.0221580530416997,0.00934967073353006,102.5,92.5,NA,1.28939584505645
53,0,2016-09-06,2016-08-30,7,0.116052603656586,0.0251712136917189,0.0221580530416997,0.00934967073353006,102.5,92.5,NA,1.28939584505645
53,0,2016-09-06,2016-08-30,7,0.116052603656586,0.0251712136917189,0.0221580530416997,0.00934967073353006,102.5,92.5,NA,1.28939584505645
54,0,2016-09-06,2016-08-30,7,0.0734662024492494,0.0332709142587629,0.0381826449089928,0.0168488828348651,115,37.5,0.00244699999999987,2.2422298202193
54,0,2016-09-06,2016-08-30,7,0.0734662024492494,0.0332709142587629,0.0381826449089928,0.0168488828348651,115,37.5,0.00244699999999987,2.2422298202193
54,0,2016-09-06,2016-08-30,7,0.0734662024492494,0.0332709142587629,0.0381826449089928,0.0168488828348651,115,37.5,0.00244699999999987,2.2422298202193
54,0,2016-09-06,2016-08-30,7,0.0734662024492494,0.0332709142587629,0.0381826449089928,0.0168488828348651,115,37.5,0.00244699999999987,2.2422298202193
54,0,2016-09-06,2016-08-30,7,0.0734662024492494,0.0332709142587629,0.0381826449089928,0.0168488828348651,115,37.5,0.00244699999999987,2.2422298202193
55,0,2016-09-06,2016-08-30,7,0.212560340783893,0.0359296615164405,0.0414940678291775,0.013108419169468,175,95,NA,2.29317671040928
55,0,2016-09-06,2016-08-30,7,0.212560340783893,0.0359296615164405,0.0414940678291775,0.013108419169468,175,95,NA,2.29317671040928
55,0,2016-09-06,2016-08-30,7,0.212560340783893,0.0359296615164405,0.0414940678291775,0.013108419169468,175,95,NA,2.29317671040928
55,0,2016-09-06,2016-08-30,7,0.212560340783893,0.0359296615164405,0.0414940678291775,0.013108419169468,175,95,NA,2.29317671040928
55,0,2016-09-06,2016-08-30,7,0.212560340783893,0.0359296615164405,0.0414940678291775,0.013108419169468,175,95,NA,2.29317671040928
56,1,2016-09-06,2016-08-30,7,0.0363607682347516,0.0263326143943969,0.0307130327596804,0.0169110664388679,82.5,79,0.00145000000000017,1.89623991845357
